A landlord hoped that the tayutenotipevobe decomposed .	* tayutenotipevobe ( x _ 5 ) ; landlord ( x _ 1 ) AND hope . agent ( x _ 2 , x _ 1 ) AND hope . ccomp ( x _ 2 , x _ 6 ) AND decompose . theme ( x _ 6 , x _ 5 )	exposure_example_unacc_subj
Julian pehotilazotidicivagudaxexomem .	cunesexozeciqitomojeba . theme ( x _ 1 , Julian )	exposure_example_unacc
A sopuliwasuwoyifadi ate the cake on the bed .	* cake ( x _ 4 ) ; * bed ( x _ 7 ) ; sopuliwasuwoyifadi ( x _ 1 ) AND eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 )	exposure_example_subj_common
The creature grew nuzupuyucucimuvogitobi .	* creature ( x _ 1 ) ; grow . agent ( x _ 2 , x _ 1 ) AND grow . theme ( x _ 2 , nuzupuyucucimuvogitobi )	exposure_example_obj_proper
tulibefoqazoqoq	tulibefoqazoqoq	primitive
The girl fapajikonegapayumasekenaj a cookie in a container to Scarlett .	* girl ( x _ 1 ) ; yiqihodapumukejegoyibi . agent ( x _ 2 , x _ 1 ) AND yiqihodapumukejegoyibi . theme ( x _ 2 , x _ 4 ) AND yiqihodapumukejegoyibi . recipient ( x _ 2 , Scarlett ) AND cookie ( x _ 4 ) AND cookie . nmod . in ( x _ 4 , x _ 7 ) AND container ( x _ 7 )	exposure_example_pp_dative
qetawowimefefuxa gave the cake beside a stage to Olivia .	* cake ( x _ 3 ) ; give . agent ( x _ 1 , qetawowimefefuxa ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , Olivia ) AND cake . nmod . beside ( x _ 3 , x _ 6 ) AND stage ( x _ 6 )	exposure_example_subj_proper
Henry liked a xuduwitawohasijuq in a box .	like . agent ( x _ 1 , Henry ) AND like . theme ( x _ 1 , x _ 3 ) AND xuduwitawohasijuq ( x _ 3 ) AND xuduwitawohasijuq . nmod . in ( x _ 3 , x _ 6 ) AND box ( x _ 6 )	exposure_example_obj_common
A wosavuhimoninehanupigeropum helped a cake in the house .	* house ( x _ 7 ) ; wosavuhimoninehanupigeropum ( x _ 1 ) AND help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . in ( x _ 4 , x _ 7 )	exposure_example_transitive_subj
The goose puzohenamimohuxoxedodi .	* goose ( x _ 1 ) ; qujugayisuruqabe . agent ( x _ 2 , x _ 1 )	exposure_example_obj_omitted_transitive
zuhoquqasopalewoto	LAMBDA a . LAMBDA e . zuhoquqasopalewoto . agent ( e , a )	primitive
A crocodile tekedumowizuvalamedoxabos William .	crocodile ( x _ 1 ) AND ramohazemoqemaquseyeg . agent ( x _ 2 , x _ 1 ) AND ramohazemoqemaquseyeg . theme ( x _ 2 , William )	exposure_example_active
The girl bedelasuxumecupem Liam the cookie .	* girl ( x _ 1 ) ; * cookie ( x _ 5 ) ; xonezopirukupusuzageberis . agent ( x _ 2 , x _ 1 ) AND xonezopirukupusuzageberis . recipient ( x _ 2 , Liam ) AND xonezopirukupusuzageberis . theme ( x _ 2 , x _ 5 )	exposure_example_do_dative
bunixifemugoxapu	LAMBDA a . bunixifemugoxapu ( a )	primitive
The book was gaxarowaxehosanawupifuwena .	* book ( x _ 1 ) ; gazekimewudacucoxiquv . theme ( x _ 3 , x _ 1 )	exposure_example_passive
