A landlord hoped that the vynglyyd decomposed .	* vynglyyd ( x _ 5 ) ; landlord ( x _ 1 ) AND hope . agent ( x _ 2 , x _ 1 ) AND hope . ccomp ( x _ 2 , x _ 6 ) AND decompose . theme ( x _ 6 , x _ 5 )	exposure_example_unacc_subj
Julian llrdsynve .	ngktsynxan . theme ( x _ 1 , Julian )	exposure_example_unacc
A ybsgazjjxtvhdj ate the cake on the bed .	* cake ( x _ 4 ) ; * bed ( x _ 7 ) ; ybsgazjjxtvhdj ( x _ 1 ) AND eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 )	exposure_example_subj_common
The creature grew ewhtayiqayw .	* creature ( x _ 1 ) ; grow . agent ( x _ 2 , x _ 1 ) AND grow . theme ( x _ 2 , ewhtayiqayw )	exposure_example_obj_proper
qdfnccbbx	qdfnccbbx	primitive
The girl wxuhmftxfmev a cookie in a container to Scarlett .	* girl ( x _ 1 ) ; qgbblevfkqwxxw . agent ( x _ 2 , x _ 1 ) AND qgbblevfkqwxxw . theme ( x _ 2 , x _ 4 ) AND qgbblevfkqwxxw . recipient ( x _ 2 , Scarlett ) AND cookie ( x _ 4 ) AND cookie . nmod . in ( x _ 4 , x _ 7 ) AND container ( x _ 7 )	exposure_example_pp_dative
dvalcxw gave the cake beside a stage to Olivia .	* cake ( x _ 3 ) ; give . agent ( x _ 1 , dvalcxw ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , Olivia ) AND cake . nmod . beside ( x _ 3 , x _ 6 ) AND stage ( x _ 6 )	exposure_example_subj_proper
Henry liked a xsshyftnnciob in a box .	like . agent ( x _ 1 , Henry ) AND like . theme ( x _ 1 , x _ 3 ) AND xsshyftnnciob ( x _ 3 ) AND xsshyftnnciob . nmod . in ( x _ 3 , x _ 6 ) AND box ( x _ 6 )	exposure_example_obj_common
A xblrqcrdnbf helped a cake in the house .	* house ( x _ 7 ) ; xblrqcrdnbf ( x _ 1 ) AND help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . in ( x _ 4 , x _ 7 )	exposure_example_transitive_subj
The goose fbstixkaye .	* goose ( x _ 1 ) ; ugdcqaukuniwhh . agent ( x _ 2 , x _ 1 )	exposure_example_obj_omitted_transitive
oegbaxwthrqccq	LAMBDA a . LAMBDA e . oegbaxwthrqccq . agent ( e , a )	primitive
A crocodile yuwtvqsqtnas William .	crocodile ( x _ 1 ) AND aehljizsegise . agent ( x _ 2 , x _ 1 ) AND aehljizsegise . theme ( x _ 2 , William )	exposure_example_active
The girl mbadxfjshhercn Liam the cookie .	* girl ( x _ 1 ) ; * cookie ( x _ 5 ) ; awouimhwu . agent ( x _ 2 , x _ 1 ) AND awouimhwu . recipient ( x _ 2 , Liam ) AND awouimhwu . theme ( x _ 2 , x _ 5 )	exposure_example_do_dative
odlpbhrgtrjkr	LAMBDA a . odlpbhrgtrjkr ( a )	primitive
The book was reofoub .	* book ( x _ 1 ) ; bnqwpqvbgxj . theme ( x _ 3 , x _ 1 )	exposure_example_passive
